50 Cent|60 Cent|1975-07-06
Sverre Anker Ousdal|Sigurd Anker Opsahl|1944-07-18
Sverrir Gudnason|Sverri Gudnarsen|1978-09-12
Swann Arlaud|Svein Arlend|1981-11-30
Swoosie Kurtz|Swishi Knartz|1944-09-06
Syamsul Arifin|Syarno Arifan|1952-09-22 – 2023-10-17
Sybil Danning|Sabine Dannor|1947-05-24
Sybil Werden|Sabine Wernan|1924-09-03 – 2007-07-27
Sybille Waury|Sibylle Wauchy|1970-05-09
Sydney Craven|Sidney Craving|1994-07-25
Sydney Greenstreet|Sidney Greenroad|1879-12-27 – 1954-01-18
Sydney Lemmon|Sidney Limon|1990
Sydney Pollack|Sidney Bullhack|1934-07-01 – 2008-05-26
Sydney Sweeney|Sidney Swooney|1997-09-12
Sylva Koscina|Sina Kortina|1933-08-22 – 1994-12-26
Sylvain Chomet|Servais Chollet|1963-11-10
Sylvaine Strike|Silvay Struck|
Sylvester Groth|Silvester Grotz|1958-03-31
Sylvester Stallone|Silvester Melone|1946-07-06
Sylvia Engelmann|Silvia Engelfrau|1958-09-22
Sylvia Hoeks|Silvia Haecks|1983-06-01
Sylvia Kristel|Silvana Crystal|1952-09-28 – 2012-10-17
Sylvia Lopez|Silvia Lupes|1933-11-10 – 1959-11-20
Sylvia Miles|Silvya Meters|1924-09-09 – 2019-06-12
Sylvia Sidney|Silvia Syltney|1910-08-08 – 1999-07-01
Sylvia Soska|Silvia Suska|1983-04-29
Sylvie Testud|Sophie Tesson|1971-01-17
Synnøve Karlsen|Sylvie Karnen|1996-07-30
Synnøve Macody Lund|Silje Macody Lind|1976-05-24
Sônia Braga|Sôleil Branco|1950-06-08
Sönke Möhring|Söntke Mähren|1972-10-12
Sönke Wortmann|Söntke Wortmensch|1959-08-25
Søren Sætter-Lassen|Sætte Søren-Larsen|1955-07-11
T. K. Carter|K. T. Cartwright|1956-12-18
T. Ryder Smith|T. Ryan Swift|1958-03-09
T.J. Miller|J.T. Mueller|1981-06-04
Tabitha Lupien|Talia Lundren|1988-02-04
Tabitha St. Germain|Talia St. Garand|1976-09-30
Tabu|Tabou|1971-11-04
Tadanobu Asano|Tadanori Asato|1973-11-27
Tadayoshi Yamamuro|Toshiro Yamamoto|1960
Tahar Rahim|Tahir Rahman|1981-07-04
Tai-chung Kim|Tae-jun Kum|1957-06-05 – 2011-08-27
Taika Waititi|Taika Waikiki|1975-08-16
Taili Wang|Taini Wong|1969-06-01
Taissa Farmiga|Taina Farmregal|1994-08-17
Takako Fuji|Tamiko Fukui|1972-07-27
Takao Nakano|Tadao Nakata|1962-05-15
Takashi Matsuyama|Takeshi Matsushima|1960-04-02
Takashi Shimizu|Takeshi Shimoro|1972-07-27
Takashi Shimura|Takatoshi Shinada|1905-03-12 – 1982-02-11
Takashi Tsukamoto|Takeshi Tsukamura|1982-10-27
Takashi Yamazaki|Takeshi Yamadera|1964-06-12
Takashi Ōtsuka|Takeshi Otsura|1981-02-23
Takehiko Inoue|Takero Inori|1967-01-12
Takehiro Hira|Takahira Hiroi|1974-07-27
Takeshi Kaneshiro|Takashi Kaneshige|1973-10-11
Takeshi Kitano|Takezō Kitaru|1947-01-18
Takeshi Koike|Takeru Kōchi|1968-01-26
Takeshi Shudo|Takezō Shojo|1949-08-18 – 2010-10-29
Takumi Saito|Takuya Saiten|1981-08-22
Talia Ryder|Taliya Raider|2002-08-16
Talia Shire|Taliya Sheyer|1946-04-25
Talisa Soto|Talitha Setso|1967-03-27
Talitha Bateman|Talisa Bateson|2001-09-04
Tamaki Katori|Takemi Koriya|1939-10-21 – 2015-10-12
Tamara Stafford|Teresa Steelford|
Tamara Tunie|Teresa Tunis|1959-03-14
Tamer Hassan|Tahir Hamal|1968-03-18
Tami Stronach|Tammy Strambach|1972-07-31
Tamir Mula|Taren Mulan|
Tammy Blanchard|Thelma Blencherd|1976-12-14
Tammy Shields|Tami Schilds|
Tamra Davis|Tamera Davids|1962-01-22
Tandi Wright|Tami Wrong|1966-05-04
Tania Fédor|Tara Fodor|1905-11-03 – 1985-12-01
Tania Mallet|Tanya Malette|1941-05-19 – 2019-03-30
Tania Raymonde|Tara Raylinde|1988-03-22
Tanja Wenzel|Tina Winzerl|1978-07-27
Tantoo Cardinal|Tantru Carneval|1950-07-20
Tanya Roberts|Tina Rotbarts|1949-10-15 – 2021-01-04
Tanya van Graan|Tina van Groen|1983-12-13
Tao Okamoto|Taro Okamuro|1985-05-22
Tara Morice|Tyra Maurice|1964-06-23
Tara Reid|Tara Rayd|1975-11-08
Tara Strong|Teri Stark|1973-02-12
Tara Westwood|Tasha Westwald|
Taraji P. Henson|Tumaini P. Handson|1970-09-11
Taral Hicks|Teryl Hacks|1974-09-21
Taran Noah Smith|Tavin Noah Swift|1984-04-08
Taraneh Alidoosti|Tahereh Alinari|1984-01-12
Tarita Teriipaia|Tabita Tariipeia|1941-12-29
Taron Egerton|Tarin Ellerton|1989-11-10
Tarsem Singh|Taren Seng|1961-05-26
Tarô Yamamoto|Taiyō Yamamuro|1974-11-24
Tashiana Washington|Talia Wellington|199x
Tate Donovan|Ted Donnervan|1963-09-25
Tate Taylor|Ted Saylor|1969-06-03
Tati Gabrielle|Tata Geraldine|1996-01-25
Tatsuya Fuji|Tatsuji Fukui|1941-08-27
Tatsuya Fujiwara|Tatsuji Fujinaka|1982-05-15
Tatsuya Nagamine|Takuro Naganoko|1971-10-06
Tatsuya Nakadai|Tatsuji Nakade|1932-12-13 – 2025-11-08
Tatsuyuki Nagai|Takuro Nagano|1976-01-24
Tatum O'Neal|Thurza O'Neil|1963-11-05
Tatyana Ali|Tatianna Ale|1979-01-24
Tawny Kitaen|Tyra Kittean|1961-08-05 – 2021-05-07
Tay Garnett|Trev Gernett|1894-06-13 – 1977-10-03
Taye Diggs|Tari Doggs|1971-01-02
Taylor Hackford|Tanner Heckfurth|1944-12-31
Taylor Handley|Tyler Headley|1984-06-01
Taylor John Smith|Tyson John Swift|1995-05-13
Taylor Kitsch|Tyler Cliche|1981-04-08
Taylor Lautner|Tyler Leisner|1992-02-11
Taylor Momsen|Tyler Mompson|1993-07-26
Taylor Murphy|Tyler Morphie|
Taylor Negron|Tanner Neyron|1957-08-01 – 2015-01-10
Taylor Nichols|Tanner Nickels|1959-03-03
Taylor Russell McKenzie|Tyler Russell McKendry|1994-07-18
Taylor Sands|Tanner Sunds|1992-12-18
Taylor Sheridan|Tanner Shiredan|1970-05-21
Taylor Swift|Taylor Swish|1989-12-13
Taylor Zakhar Perez|Tyler Zaran Perea|1991-12-25
Tchéky Karyo|Tarek Karion|1953-10-04 – 2025-10-31
Teagan Croft|Tegan Craft|2004-04-23
Ted Atherton|Todd Adertonn|1962
Ted Danson|Dan Tedson|1947-12-29
Ted de Corsia|Todd de Corsica|1903-09-29 – 1973-04-11
Ted Knight|Tate Knave|1923-12-07 – 1986-08-26
Ted Kotcheff|Tod Codechief|1931-04-07 – 2025-04-10
Ted Levine|Todd Laverne|1957-05-29
Ted McGinley|Tate McGrinly|1958-05-30
Ted Post|Ned Prost|1918-03-31 – 2013-08-20
Ted Wass|Tad Wuss|1952-10-27
Ted White|Tod Vice|1926-01-25 – 2022-10-14
Teddy Lin Wai Kin|Telly Lam Wai Keung|1959-09-15
Telly Savalas|Teddy Sevillas|1922-01-21 – 1994-01-22
Temuera Morrison|Tangaroa Morrisand|1960-12-26
Tenacious D|Telicious D|
Teng Shen|Tian Shin|1979-10-23
Tenika Davis|Tiana Davids|1985-07-16
Tenoch Huerta|Tarin Hurtado|1981-01-29
Tensai Okamura|Tensei Okadaru|1961-12-13
Teo Yoo|Taro Yook|1981-04-11
Teodora Duhovnikova|Tsveta Draganova|1977-12-14
Terence Bayler|Terrence Bayling|1930-01-24 – 2016-08-02
Terence Dixon|Terrence Dixly|
Terence Fisher|Terry Fishing|1904-02-23 – 1980-06-18
Terence Hill|Terrace Hell|1939-03-29
Terence Stamp|Lawrence Stempel|1938-07-22 – 2025-08-17
Terence Young|Terrence Jung|1915-06-20 – 1994-09-07
Teresa Ann Savoy|Tamara Ann Savayne|1955-07-18 – 2017-01-09
Teresa Ganzel|Tamara Gamsel|1957-03-23
Teresa Palmer|Theresa Palmen|1986-02-26
Teresa Weißbach|Theresa Weinbach|1981-04-26
Teresa Wright|Tamara Wrong|1918-10-27 – 2005-03-06
Teri Garr|Tara Gerr|1944-12-11 – 2024-10-29
Teri Hatcher|Terry Hatching|1964-12-08
Teri Polo|Terry Pele|1969-06-01
Terrence Howard|Terrance Harvey|1969-03-11
Terrence Malick|Terrance Malice|1943-11-30
Terrence Mann|Terence Mensch|1951-07-01
Terri Garber|Tery Gerber|1960-12-28
Terri Treas|Terry Treyss|1957-07-19
Terrie Hawkes|Tara Harkes|1959
Terry Alexander|Terence Alexandro|1947-03-23
Terry Benedict|Terri Benjamin|
Terry Carter|Terri Cartwright|1928-12-16 – 2024-04-23
Terry Crews|Trevor Cruels|1968-07-30
Terry Farrell|Tyler Ferret|1963-11-19
Terry George|George Terrier|1952-12-20
Terry Gilliam|Teddy Gilligan|1940-11-22
Terry Jones|Trevor James|1942-02-01 – 2020-01-21
Terry Kinney|Teddy Kidney|1954-01-29
Terry Kiser|Jerry Kiston|1939-08-01
Terry Potter|Jerry Pottle|
Terry Pratchett|Teddy Pretchitt|1948-04-28 – 2015-03-12
Terry-Thomas|Thommy-Terrace|1911-07-10 – 1990-01-08
Teru Shimada|Toru Shimaya|1905-11-17 – 1988-06-19
Teruyuki Kagawa|Tetsuyuki Kagome|1965-12-07
Tess Harper|Tish Harfen|1950-08-15
Tessa Thompson|Trisha Thumpsen|1983-10-03
Tetsuro Kodama|Tetsuya Kodane|
Tetsurō Tamba|Tetsuya Taima|1922-07-17 – 2006-09-24
Tetsuya Watari|Tetsurō Watabe|1941-12-28 – 2020-08-10
Tex Harding|Tad Harden|1918-01-04 – 1981-04-28
Texas Battle|Texan Battling|1976-08-09
Teyana Taylor|Tiana Saylor|1990-12-10
Teyonah Parris|Tahlena Parlings|1987
Thandiwe Newton|Thandie Newman|1972-11-06
Thanh Vân Ngô|Tharin Vân Ngot|1979-02-26
The Bullitts|The Bulettes|1979-07-27
The Cure|The Chore|
The Germs|The Verms|
Thea Gottschalk|Trude Gottschelm|1946
Thea Sharrock|Trude Sharrow|1976
Thelma Ritter|Tammy Rider|1902-02-14 – 1969-02-05
Thelma Todd|Selma Toad|1906-07-29 – 1935-12-16
Thelonious Monk|Thalonius Munk|1917-10-10 – 1982-02-17
Theo James|Toni Jones|1984-12-16
Theo Lingen|Theo Lungern|1903-06-10 – 1978-11-10
Theo Mezger|Torger Mezler|1923-08-10 – 2023-07-03
Theo Taplitz|Toni Taplen|2003
Theodore Bikel|Theodor Byker|1924-05-02 – 2015-07-21
Theodore Melfi|Theodor Mamfi|1970-10-27
Theodore Roosevelt|Theodore Rosewell|1858-10-27 – 1919-01-06
Theresa Randle|Teresa Random|1964-12-27
Theresa Saldana|Therese Soldarra|1954-08-20 – 2016-06-06
Theresa Vilsmaier|Therese Veithmeier|1989-06-08
Therese Affolter|Theresa Affolting|1951-11-28
Thierry Hancisse|Timothée Hachette|1962-11-20
Thierry Lhermitte|Timothée Lheronne|1952-11-24
Thierry Tevini|Timothée Terrini|1966-06-24
Thierry Van Werveke|Timothée Van Werteker|1958-10-23 – 2009-01-12
Thobias Thorwid|Tuomas Thorwick|1991-07-27
Thom Barry|Todd Barlowe|1950-12-06
Thom Bray|Thim Brey|1954-04-30
Thom Eberhardt|Thim Engelhart|1947-03-07
Thom Mathews|Todd Matthias|1958-11-28
Thomas Andrae|Thorsten Andrey|
Thomas Astruc|Tobias Astrel|1975
Thomas Bo Larsen|Tobias Bo Lassen|1963-11-27
Thomas Brodie-Sangster|Tomas Brudy-Singster|1990-05-16
Thomas Calabro|Tobias Caldero|1959-02-03
Thomas Carter|Travis Cartwright|1953-07-17
Thomas Cocquerel|Tobias Cocquard|1990-09-06
Thomas Danneberg|Thomas Dannerburg|1942-06-02 – 2023-09-30
Thomas Engel|Thorsten Englein|1922-04-18 – 2015-05-07
Thomas Flynn|Tobias Flynt|
Thomas Fritsch|Thorsten Frischt|1944-01-16 – 2021-04-21
Thomas Gibson|Tomas Glibsen|1962-07-03
Thomas Gottschalk|Thorsten Gottschelm|1950-05-18
Thomas Haden Church|Tomas Hayden Kirch|1960-06-17
Thomas Haustein|Thorsten Haurein|1965-06
Thomas Ian Griffith|Toby Ian Grabbit|1962-03-18
Thomas Ian Nicholas|Toby Ian Nickelsens|1980-07-10
Thomas Jahn|Thorsten John|1965-07-09
Thomas Jane|Tomas Jade|1969-02-22
Thomas Kail|Tobias Kale|1978-01-20
Thomas Klameth|Tobias Klamen|1943-03-07
Thomas Kretschmann|Thorsten Kratzmensch|1962-09-08
Thomas Langmann|Tomás Langer|1971-05-24
Thomas Mann|Thomas Mensch|1991-09-27
Thomas Martin Einstein|Thorsten Martin Steinsein|
Thomas Meiertoberens|Thomas Weierunterens|
Thomas Middleditch|Tobias Middlerwitch|1982-03-10
Thomas Mitchell|Travis Michael|1892-07-11 – 1962-12-17
Thomas Oberlies|Thomas Unterlisl|1972-06-26
Thomas Thieme|Tobias Thaeme|1948-10-29
Thomas Vinterberg|Tobias Vintrigburg|1969-05-19
Thomasin McKenzie|Tomasyn McKendry|2000-07-26
Thomy Bourdelle|Tony Bourdon|1892-04-20 – 1972-06-27
Thora Birch|Thora Bark|1982-03-11
Thorold Dickinson|Thoren Ducklingson|1903-11-16 – 1984-04-14
Thurop Van Orman|Thorren Van Olmen|1976-04-26
Thuso Mbedu|Thura Mbendu|1991-07-08
Thuy Trang|Thao Trịnh|1973-12-14 – 2001-09-03
Théodore Pellerin|Timothée Pallarin|1997
Ti West|Ti East|1980-10-05
Tia Carrere|Tina Carrene|1967-01-02
Tian Jing|Ting Jang|1988-07-21
Tichina Arnold|Tichine Arthur|1969-06-28
Tiffani Thiessen|Tahlia Theyssen|1974-01-23
Tiffany Boone|Tifanie Bloome|1987-08-27
Tiffany Haddish|Tifanie Hamlish|1979-12-03
Tiffany Shepis|Tifanie Scepsis|1979-09-11
Tiger Shroff|Tigor Shren|1990-03-02
Tika Sumpter|Tila Sunter|1980-06-20
Til Schweiger|Till Schwaetzer|1963-12-19
Tilda Swinton|Tila Swineton|1960-11-05
Tiller Russell|Tobin Ruessel|
Tilo Prückner|Timo Pröckler|1940-10-26 – 2020-07-02
Tim Allen|Tom Alley|1953-06-13
Tim Balme|Tom Palme|1967-01-25
Tim Blake Nelson|Tom Blake Nielsen|1964-05-11
Tim Burton|Tom Blurty|1958-08-25
Tim Conway|Jim Cobbway|1933-12-15 – 2019-05-14
Tim Curry|Tom Blurry|1946-04-19
Tim Dunigan|Tom Dinnergang|1955-08-02
Tim Dünschede|Tom Dünschise|1984
Tim Heidecker|Tom Heudacher|1976-02-03
Tim Hill|Tom Mill|1958-05-21
Tim Holt|Tom Hilt|1919-02-05 – 1973-02-15
Tim Hunter|Tom Haunting|1947-06-15
Tim Johnson|Tom Jinkson|1961-08-27
Tim Kazurinsky|Jim Kavarinsky|1950-03-03
Tim Matheson|Tom Matikson|1947-12-31
Tim McDaniel|Tim McDamian|
Tim McGraw|Tom MacGrow|1967-05-01
Tim McIntire|Timo McEntyre|1944-07-19 – 1986-04-15
Tim Meadows|Jim Medders|1961-02-05
Tim Miller|Tom Mueller|1964-10-10
Tim Oliver Schultz|Tom Olivier Schulze|1988-07-22
Tim Pigott-Smith|Tom Piggod-Swift|1946-05-13 – 2017-04-07
Tim Pope|Tom Papst|1956-02-12
Tim Reid|Tom Rayd|1944-12-19
Tim Robbins|Tom Hoppins|1958-10-16
Tim Roth|Tom Ros|1961-05-14
Tim Russ|Tom Riss|1956-06-22
Tim Story|Tom Storage|1970-03-13
Tim Thomerson|Tom Timmersen|1946-04-08
Tim Wiese|Timo Gras|1981-12-17
Timo Vuorensola|Torben Vuosinela|1979-11-29
Timothy Bottoms|Theodore Buttons|1951-08-30
Timothy Carhart|Theodore Carherd|1953-12-24
Timothy Dalton|Theodore Dalting|1946-03-21
Timothy Farrell|Theodore Ferret|1922-06-26 – 1989-05-09
Timothy Hutton|Theodore Huette|1960-08-16
Timothy Olyphant|Theodore Onnyphant|1968-05-20
Timothy Simons|Theodore Seymonts|1978-06-12
Timothy Spall|Theodore Spill|1957-02-27
Timothy Treadwell|Theodore Tradewell|1957-04-29 – 2003-10-05
Timothy “Speed“ Levitch|Theodore “Spree“ Levven|1970-07-09
Timothée Chalamet|Thierry Chalonne|1995-12-27
Timur Bekmambetov|Temur Beklamishev|1961-06-25
Tina Fey|Tine Fay|1970-05-18
Tina Kellegher|Tara Kollogher|1967
Tina Louise|Tia Leona|1934-02-11
Tina Majorino|Tara Minorino|1985-02-07
Tina Ruland|Tanja Ruhstett|1966-10-09
Tina Satter|Tara Sattling|1974
Tina Tamashiro|Tanya Tashamoto|1997-10-08
Tina Turner|Trudi Toerner|1939-11-26 – 2023-05-24
Tinto Brass|Tantro Bass|1933-03-26
Tio Pakusadewo|Tino Paradasewo|1963-09-02
Tip “T.I.“ Harris|Top “T.O.“ Harrels|1980-09-25
Tippi Hedren|Tipsi Hairden|1930-01-19
Tisha Campbell|Tyra Cantwell|1968-10-13
Tobe Hooper|Toby Hooping|1943-01-25 – 2017-08-26
Tobe Nwigwe|Toby Nwilke|1987-03-08
Tobey Maguire|Toby Macquire|1975-06-27
Tobi Baumann|Tommi Buhmann|1974-05-22
Tobi Krell|Tommi Krahl|1986
Tobias Menzies|Thaddeus Minziers|1974-03-07
Tobias Retzlaff|Thaddeus Rutzleff|1987
Tobin Bell|Torben Yell|1942-08-07
Toby Froud|Tobe Fraut|1984-06-27
Toby Jones|Tobe James|1966-09-07
Toby Kebbell|Tobe Kerran|1982-07-09
Toby Stephens|Tony Stevans|1969-04-21
Toby Wilkins|Tobe Wilkens|1972-05-27
Tod Browning|Tedd Downing|1880-07-12 – 1962-10-06
Tod Slaughter|Tedd Slaechter|1885-03-19 – 1956-02-19
Tod Williams|Ted Wilhelms|1968-09-27
Todd Armstrong|Thom Armstark|1937-07-25 – 1992-11-17
Todd Field|Ted Feld|1964-02-24
Todd Haynes|Thom Hains|1961-01-02
Todd Phillips|Ted Philberts|1970-12-20
Todd Slavkin|Ted Slawkind|1965-09-19
Todd Stashwick|Ted Stickwash|1968-10-16
Todd Strauss-Schulson|Thom Strauch-Schulkind|1980-06-24
Todor Chapkanov|Toma Chavdarov|1977-07-29
Togo Igawa|Taro Inaga|1946-09-26
Tokio Emoto|Tokito Emori|1989-10-16
Tokio Hotel|Shanghai Hotel|
Tom Arnold|Tim Arthur|1959-03-06
Tom Atkins|Tim Attkens|1935-11-13
Tom Baker|Tom Becker|1934-01-20
Tom Bateman|Thom Bateson|1989-03-15
Tom Beck|Tim Back|1978-02-26
Tom Berenger|Tim Beringer|1949-05-31
Tom Berry|Tim Beery|
Tom Blyth|Tony Blye|1995
Tom Bosley|Tim Bosling|1927-10-01 – 2010-10-19
Tom Burke|Tim Barke|1981-06-30
Tom Burlinson|Tim Burling|1956-02-14
Tom Cherones|Tim Charonas|1939-09-11
Tom Clancy|Tim Clonky|1947-04-12 – 2013-10-01
Tom Conway|Tim Cobbway|1904-09-15 – 1967-04-22
Tom Courtenay|Tim Courtelley|1937-02-25
Tom Cruise|Tim Cruz|1962-07-03
Tom Cullen|Tony Collner|1985-07-17
Tom Dey|Tim Dai|1965-04-14
Tom Drake|Tim Drach|1918 – 1982-08-11
Tom Everett Scott|Tim Everett Scotch|1970-09-07
Tom Ewell|Tim Ewoll|1909-04-29 – 1994-09-12
Tom Felton|Tim Felner|1987-09-22
Tom Ford|Tim Forth|1961-08-27
Tom Frederic|Tim Froderick|
Tom Georgeson|Thom Gregson|1937-08-08
Tom Gerhardt|Tim Geraldt|1957-12-12
Tom Glynn-Carney|Tim Glymp-Carsay|1995-02-07
Tom Gormican|Tim Gormanco|
Tom Green|Tim Gray|1971-07-30
Tom Guiry|Tim Guyrie|1981-10-12
Tom Hanks|Tim Honks|1956-07-09
Tom Hardy|Tim Heartly|1977-09-15
Tom Helmore|Tim Hellmoor|1904-01-04 – 1995-09-12
Tom Hiddleston|Tim Hiddlerstein|1981-02-09
Tom Holland|Tim Helgoland|1943-07-11
Tom Holland|Tim Helgoland|1996-06-01
Tom Hollander|Tim Hollandman|1967-08-25
Tom Hooper|Tim Hooping|1972-10-05
Tom Hulce|Tom Dolce|1953-12-06
Tom Jones|Tom James|1940-06-07
Tom Mankiewicz|Tim Mackiewicz|1942-06-01 – 2010-07-31
Tom McCarthy|Tim McCanny|1966-06-07
Tom McGrath|Tim McGroth|1964-08-07
Tom McLoughlin|Tim MacLaughing|1950-07-19
Tom Noonan|Tim Nonaan|1951-04-12
Tom Palazzolo|Tim Palmerozzo|1937
Tom Parker|Tim Parkin|1909-06-26 – 1997-01-21
Tom Payne|Tim Pine|1982-12-21
Tom Pelphrey|Tim Pelphor|1982-07-28
Tom Petty|Tim Pretty|1950-10-20 – 2017-10-02
Tom Ropelewski|Tim Ripolenski|
Tom Savini|Tom Savane|1946-11-03
Tom Schilling|Tim Schillernd|1982-02-10
Tom Selleck|Tim Solleck|1945-01-29
Tom Shadyac|Tony Shadillac|1958-12-11
Tom Sizemore|Tim Sizeless|1961-11-29 – 2023-03-03
Tom Skerritt|Tim Skirrett|1933-08-25
Tom Sturridge|Thom Storrich|1985-12-21
Tom Taylor|Tim Saylor|2001-07-16
Tom Towles|Tony Tows|1950-03-20 – 2015-04-05
Tom Tully|Tim Talley|
Tom Tully|Tim Talley|1908-08-21 – 1982-04-27
Tom Tykwer|Tim Toykwerk|1965-05-23
Tom Vaughan|Tony Vanagh|1969-09-05
Tom Waits|Thom Wates|1949-12-07
Tom Welling|Tim Wellner|1977-04-26
Tom Wilkinson|Tim Walkinsen|1948-02-05 – 2023-12-30
Tom Wilson|Tim Wilton|1959-04-15
Tomas Alfredson|Thomas Artursson|1965-04-01
Tomas Milian|Thomas Milani|1933-03-03 – 2017-03-22
Tomasz Mandes|Tadeus Mandren|1976-06-14
Tomisaburô Wakayama|Tomisachio Wakamura|1929-09-01 – 1992-04-02
Tommy Chong|Timmy Ching|1938-05-24
Tommy Davidson|Timmy Davisen|1963-11-10
Tommy Ivo|Tony Ivu|1936-04-18
Tommy Lee Jones|Timmy-Lou James|1946-09-15
Tommy Lee Wallace|Timmy Lou Wallis|1949-09-06
Tommy Redmond Hicks|Timmy Redmond Hacks|1962-05-31
Tommy Rettig|Timmy Ruebig|1941-12-10 – 1996-02-15
Tommy Stovall|Timmy Stairwall|
Tommy Wirkola|Timmy Winkula|1979-12-06
Tomy Wigand|Timo Waegend|1952-07-12
Tomáš Skuhravý|Tomáš Skuhraček|1965-09-07
Tone Lōc|Tune Lōk|1966-03-03
Toni Collette|Tori Corbette|1972-11-01
Toni Fontana|Tony Fontino|
Toni Hudson|Tyler Huttsen|1960-11-09
Toni Kroos|Tommy Kloos|1990-01-04
Toni Myers|Tommy Meyrs|1943-09-29 – 2019-02-18
Toni Netzle|Trude Netzer|1930-03-25 – 2021-10-27
Toni Servillo|Toni Serrino|1959-01-25
Toni Turek|Theo Toreck|1919-01-18 – 1984-05-11
Tonie Marshall|Tanya Marshman|1951-11-29 – 2020-03-12
Tonino Valerii|Tonio Valletti|1934-05-20 – 2016-10-13
Tonio von der Meden|Tinto van der Meder|1936-11-26
Tony Amendola|Toby Amendoni|1951-08-24
Tony Bancroft|Toby Bankert|1967-07-31
Tony Bellew|Toni Belmar|1982-11-30
Tony Blair|Toni Blaeh|1953-05-06
Tony Britton|Toni Bridger|1924-06-09 – 2019-12-22
Tony Cox|Toni Cux|1958-03-31
Tony Curran|Toby Corrane|1969-12-13
Tony Curtis|Timmy Cortis|1925-06-03 – 2010-09-29
Tony Danza|Toni Stanza|1951-04-21
Tony Darrow|Tommy Darden|1938-12-23
Tony Ganios|Toni Gavros|1959-10-21 – 2024-02-18
Tony Gatlif|Toby Gatlen|1948-09-10
Tony Giglio|Tommy Giglero|1971-06-03
Tony Gilroy|Toni Gibney|1956-09-11
Tony Goldwyn|Timmy Goldloss|1960-05-20
Tony Hale|Toby Hail|1970-09-30
Tony Jaa|Timmy Jae|1976-02-05
Tony Jay|Toni Jaim|1933-02-02 – 2006-08-13
Tony Kaye|Toby Keye|1952-07-08
Tony Leondis|Tommy Leorin|1972-03-24
Tony Leung Chiu-wai|Tommy Leng Chu-wan|1962-06-27
Tony Leung Ka-fai|Toby Leung Kai-Fa|1958-02-01
Tony Lo Bianco|Tommy Lo Brano|1936-10-19 – 2024-06-11
Tony Randall|Tommy Randolf|1920-02-26 – 2004-05-17
Tony Randel|Timmy Rondel|1956-05-29
Tony Revolori|Toby Revorani|1996-04-28
Tony Richardson|Tommy Robertson|1928-06-05 – 1991-11-14
Tony Roberts|Timmy Rotbarts|1939-10-22 – 2025-02-07
Tony Scott|Toni Scotch|1944-06-21 – 2012-08-19
Tony Shalhoub|Toby Shurahb|1953-10-09
Tony Todd|Toby Toad|1954-12-04 – 2024-11-06
Tony Yang|Toni Ying|1982-08-30
Topher Grace|Tian Glory|1978-07-12
Tor Johnson|Tord Jameson|1903-10-19 – 1971-05-12
Toralv Maurstad|Torben Maursen|1926-11-24 – 2022-11-04
Torben|Timo|
Tori Black|Tyra Bleak|1988-08-26
Tori Spelling|Tyra Spilling|1973-05-16
Toshiki Inoue|Toshiro Inori|1959-11-28
Toshio Hirata|Toshiji Hirate|1938-02-16 – 2014-08-25
Toshirô Mifune|Toshizō Mikumo|1920-04-01 – 1997-12-24
Totò|Tetè|1898-02-15 – 1967-04-15
Toyoo Ashida|Toyozō Ashira|1944-04-21 – 2011-07-23
Tracee Ellis Ross|Taryn Eliss Horse|1972-10-29
Tracey Ullman|Tracy Ulkmen|1959-12-30
Tracey Walter|Tracy Werner|1947-11-25
Traci Lords|Tracie Lards|1968-05-07
Traci Wolfe|Tracie Wulfen|1961
Tracie Savage|Traci Ravage|1962-11-07
Tracy Camilla Johns|Trisha Camille Jacks|1963-04-12
Tracy Letts|Tracey Lenns|1965-07-04
Tracy Nelson|Tracey Nielsen|1963-10-25
Tracy Scoggins|Tracey Scowens|1953-11-13
Traute Carlsen|Trude Curtsen|1882-02-16 – 1968-11-22
Travis Fimmel|Trevor Fummel|1979-07-15
Travis Knight|Thomas Knave|1973-09-13
Travis Tedford|Trevor Trasford|1988-08-19
Travis Tope|Thomas Trope|1991-11-11
Travis Van Winkle|Trevor Van Wickel|1982-11-04
Travis Zariwny|Thomas Zarwiney|
Treat Williams|Trent Wilhelms|1951-12-01 – 2023-06-12
Trent Harris|Treat Harrels|1952
Trevante Rhodes|Trevor Rosers|1990-02-10
Trevor Donovan|Travis Donnervan|1978-10-11
Trevor Fehrman|Terry Ferren|1981-07-14
Trevor Howard|Trenton Harvey|1913-09-29 – 1988-01-07
Trevor Morgan|Trenton Morgen|1986-11-26
Trey Parker|Troy Parkin|1969-10-19
Trey Songz|Troy Singz|1984-11-28
Trey Wilson|Troy Wilton|1948-01-21 – 1989-01-16
Tricia O'Neil|Trisha O'Neal|1945-03-11
Trine Dyrholm|Tonje Dyrhalm|1972-04-15
Trini Alvarado|Truni Almorado|1967-01-10
Trish Sie|Trick She|1971-10-11
Trisha Noble|Tessa Nobell|1944-02-03 – 2021-01-23
Tristan Wilds|Truman Walds|1989-07-15
Tristán Ulloa|Tito Ulleo|1970-05-06
Troels Lyby|Truls Lyrik|1966-10-15
Troian Bellisario|Troyan Bellissimio|1985-10-28
Troy Duffy|Trey Doofey|1971-06-08
Troy Evans|Trey Evers|1948-02-16
Troy Kotsur|Trey Katzur|1968-07-24
Troy Miller|Trey Mueller|
